iter	Passed	Remaining
402	18869	27953
403	18924	27918
404	18977	27880
405	19032	27845
406	19085	27807
407	19137	27767
408	19192	27732
409	19244	27693
410	19295	27651
411	19346	27611
412	19398	27571
413	19447	27527
414	19502	27490
415	19555	27452
416	19607	27413
417	19658	27371
418	19712	27333
419	19766	27297
420	19818	27255
421	19868	27212
422	19916	27167
423	19969	27128
424	20024	27091
425	20079	27054
426	20130	27013
427	20182	26972
428	20235	26933
429	20289	26895
430	20343	26856
431	20393	26814
432	20447	26775
433	20503	26739
434	20558	26702
435	20610	26661
436	20664	26623
437	20717	26582
438	20770	26543
439	20821	26500
440	20877	26463
441	20932	26425
442	20985	26385
443	21036	26343
444	21090	26304
445	21143	26262
446	21194	26220
447	21245	26177
448	21297	26136
449	21350	26094
450	21401	26052
451	21450	26006
452	21500	25962
453	21554	25922
454	21604	25877
455	21652	25831
456	21703	25787
457	21752	25742
458	21803	25698
459	21855	25656
460	21909	25616
461	21960	25572
462	22012	25531
463	22067	25491
464	22119	25449
465	22169	25404
466	22220	25361
467	22272	25318
468	22327	25279
469	22380	25237
470	22433	25196
471	22485	25153
472	22537	25110
473	22587	25065
474	22641	25024
475	22694	24982
476	22749	24943
477	22799	24898
478	22848	24852
479	22896	24804
480	22949	24762
481	23002	24720
482	23052	24675
483	23106	24634
484	23157	24589
485	23209	24546
486	23265	24507
487	23318	24465
488	23372	24424
489	23425	24381
490	23479	24340
491	23533	24298
492	23587	24257
493	23641	24215
494	23697	24176
495	23753	24137
496	23808	24096
497	23861	24052
498	23912	24008
499	23965	23965
500	24020	23924
501	24074	23882
502	24126	23839
503	24181	23797
504	24237	23757
505	24290	23714
506	24340	23667
507	24392	23624
508	24445	23580
509	24498	23537
510	24551	23494
511	24606	23452
512	24655	23405
513	24704	23358
514	24775	23332
515	24828	23288
516	24882	23246
517	24936	23203
518	24988	23158
519	25042	23115
520	25093	23070
521	25147	23028
522	25199	22983
523	25254	22940
524	25307	22897
525	25359	22852
526	25414	22810
527	25466	22765
528	25520	22722
529	25576	22681
530	25631	22638
531	25683	22593
532	25740	22552
533	25795	22510
534	25848	22466
535	25899	22420
536	25954	22377
537	26009	22335
538	26063	22291
539	26114	22245
540	26168	22202
541	26223	22159
542	26279	22117
543	26333	22073
544	26389	22031
545	26444	21988
546	26497	21944
547	26551	21900
548	26606	21856
549	26659	21812
550	26713	21768
551	26767	21724
552	26823	21682
553	26877	21637
554	26931	21593
555	26984	21548
556	27039	21505
557	27096	21463
558	27148	21417
559	27197	21369
560	27253	21326
561	27304	21279
562	27358	21235
563	27413	21192
564	27468	21148
565	27520	21102
566	27575	21058
567	27626	21011
568	27681	20967
569	27734	20922
570	27791	20879
571	27844	20834
572	27899	20790
573	27951	20744
574	28006	20700
575	28060	20655
576	28111	20608
577	28167	20565
578	28221	20520
579	28270	20471
580	28326	20428
581	28382	20384
582	28442	20343
583	28494	20297
584	28549	20253
585	28602	20206
586	28657	20162
587	28710	20116
588	28766	20073
589	28823	20029
590	28877	19984
591	28930	19938
592	28983	19892
593	29038	19848
594	29095	19804
595	29149	19758
596	29205	19715
597	29261	19670
598	29316	19625
599	29366	19577
600	29420	19532
601	29475	19487
602	29529	19441
603	29579	19393
604	29636	19349
605	29692	19304
606	29744	19258
607	29796	19210
608	29852	19166
609	29906	19120
610	29961	19075
611	30012	19027
612	30067	18982
613	30121	18936
614	30178	18892
615	30230	18844
616	30285	18799
617	30340	18754
618	30397	18709
619	30450	18662
620	30504	18617
621	30560	18571
622	30618	18528
623	30671	18481
624	30724	18434
625	30779	18389
626	30835	18344
627	30903	18305
628	30958	18259
629	31013	18214
630	31066	18167
631	31119	18120
632	31178	18076
633	31235	18031
634	31290	17985
635	31342	17938
636	31398	17892
637	31454	17847
638	31509	17801
639	31563	17754
640	31617	17707
641	31671	17661
642	31726	17614
643	31782	17568
644	31833	17520
645	31887	17474
646	31942	17427
647	31993	17379
648	32049	17333
649	32104	17286
650	32157	17239
651	32209	17191
652	32262	17144
653	32318	17098
654	32368	17049
655	32422	17002
656	32478	16956
657	32534	16910
658	32589	16863
659	32641	16815
660	32695	16768
661	32747	16719
662	32805	16674
663	32856	16626
664	32910	16578
665	32964	16531
666	33020	16485
667	33072	16437
668	33127	16390
669	33180	16342
670	33235	16295
671	33288	16247
672	33342	16200
673	33397	16153
674	33448	16104
675	33500	16056
676	33553	16008
677	33607	15961
678	33663	15914
679	33713	15865
680	33771	15819
681	33824	15771
682	33880	15724
683	33933	15676
684	33990	15630
685	34045	15583
686	34098	15535
687	34151	15487
688	34206	15440
689	34261	15392
690	34316	15345
691	34371	15298
692	34425	15250
693	34480	15203
694	34531	15154
695	34585	15106
696	34643	15060
697	34698	15012
698	34752	14965
699	34805	14916
700	34860	14869
701	34911	14820
702	34967	14773
703	35018	14723
704	35075	14676
705	35129	14629
706	35182	14580
707	35234	14531
708	35289	14484
709	35341	14435
710	35398	14388
711	35451	14339
712	35504	14291
713	35560	14244
714	35614	14196
715	35666	14146
716	35720	14098
717	35779	14052
718	35833	14004
719	35885	13955
720	35939	13907
721	35993	13859
722	36049	13811
723	36120	13769
724	36174	13721
725	36230	13673
726	36282	13624
727	36337	13576
728	36392	13528
729	36449	13481
730	36504	13433
731	36556	13383
732	36607	13334
733	36664	13286
734	36716	13237
735	36768	13188
736	36824	13140
737	36878	13092
738	36932	13043
739	36984	12994
740	37038	12945
741	37092	12897
742	37146	12848
743	37198	12799
744	37252	12750
745	37306	12702
746	37359	12653
747	37413	12604
748	37465	12555
749	37521	12507
750	37576	12458
751	37628	12409
752	37684	12361
753	37740	12313
754	37795	12264
755	37848	12215
756	37902	12166
757	37957	12118
758	38010	12069
759	38063	12019
760	38120	11972
761	38175	11923
762	38228	11874
763	38279	11824
764	38335	11776
765	38388	11727
766	38443	11678
767	38493	11628
768	38549	11579
769	38605	11531
770	38661	11482
771	38713	11433
772	38766	11384
773	38822	11335
774	38878	11287
775	38929	11237
776	38985	11188
777	39042	11140
778	39097	11091
779	39148	11041
780	39203	10992
781	39257	10943
782	39311	10894
783	39367	10846
784	39422	10797
785	39476	10748
786	39535	10700
787	39589	10650
788	39645	10602
789	39699	10553
790	39755	10504
791	39811	10455
792	39867	10406
793	39924	10358
794	39980	10309
795	40030	10259
796	40085	10209
797	40140	10160
798	40192	10111
799	40245	10061
800	40297	10011
801	40350	9961
802	40401	9911
803	40452	9861
804	40506	9812
805	40563	9763
806	40615	9713
807	40670	9664
808	40725	9615
809	40780	9565
810	40831	9515
811	40899	9469
812	40950	9419
813	41003	9369
814	41055	9319
815	41108	9269
816	41165	9220
817	41218	9170
818	41272	9121
819	41323	9070
820	41375	9020
821	41431	8971
822	41487	8922
823	41538	8872
824	41591	8822
825	41645	8772
826	41700	8723
827	41750	8672
828	41806	8623
829	41863	8574
830	41919	8525
831	41972	8475
832	42026	8425
833	42080	8375
834	42135	8326
835	42190	8276
836	42240	8226
837	42295	8176
838	42351	8126
839	42406	8077
840	42458	8027
841	42511	7977
842	42566	7927
843	42622	7878
844	42673	7827
845	42724	7777
846	42778	7727
847	42833	7677
848	42885	7627
849	42937	7577
850	42993	7527
851	43049	7478
852	43100	7427
853	43153	7377
854	43207	7327
855	43260	7277
856	43314	7227
857	43369	7177
858	43425	7128
859	43479	7078
860	43532	7027
861	43587	6977
862	43643	6928
863	43698	6878
864	43749	6827
865	43800	6777
866	43853	6727
867	43908	6677
868	43958	6626
869	44013	6576
870	44067	6526
871	44123	6476
872	44175	6426
873	44231	6376
874	44287	6326
875	44339	6276
876	44394	6226
877	44453	6176
878	44507	6126
879	44561	6076
880	44613	6026
881	44667	5975
882	44723	5925
883	44778	5875
884	44830	5825
885	44888	5775
886	44942	5725
887	44998	5675
888	45059	5626
889	45113	5575
890	45167	5525
891	45221	5475
892	45273	5424
893	45326	5374
894	45379	5323
895	45432	5273
896	45485	5222
897	45539	5172
898	45633	5126
899	45707	5078
900	45752	5027
901	45796	4975
902	45838	4923
903	45884	4872
904	45929	4821
905	45979	4770
906	46018	4718
907	46057	4666
908	46098	4614
909	46133	4562
910	46188	4512
911	46238	4461
912	46271	4409
913	46305	4356
914	46340	4304
915	46376	4252
916	46410	4200
917	46455	4149
918	46495	4098
919	46531	4046
920	46568	3994
921	46602	3942
922	46641	3890
923	46678	3839
924	46709	3787
925	46738	3735
926	46768	3682
927	46796	3630
928	46824	3578
929	46852	3526
930	46886	3474
931	46920	3423
932	46952	3371
933	46981	3319
934	47009	3268
935	47037	3216
936	47069	3164
937	47102	3113
938	47133	3061
939	47164	3010
940	47192	2958
941	47219	2907
942	47247	2855
943	47274	2804
944	47303	2753
945	47333	2701
946	47361	2650
947	47386	2599
948	47411	2547
949	47438	2496
950	47464	2445
951	47490	2394
952	47518	2343
953	47547	2292
954	47575	2241
955	47606	2191
956	47636	2140
957	47664	2089
958	47690	2038
959	47716	1988
960	47747	1937
961	47778	1887
962	47806	1836
963	47832	1786
964	47858	1735
965	47883	1685
966	47908	1634
967	47933	1584
968	47962	1534
969	47991	1484
970	48021	1434
971	48047	1384
972	48072	1333
973	48099	1283
974	48125	1233
975	48149	1184
976	48178	1134
977	48209	1084
978	48239	1034
979	48265	985
980	48291	935
981	48317	885
982	48344	836
983	48368	786
984	48395	736
985	48424	687
986	48452	638
987	48476	588
988	48502	539
989	48528	490
990	48555	440
991	48587	391
992	48618	342
993	48648	293
994	48673	244
995	48698	195
996	48721	146
997	48744	97
998	48768	48
999	48791	0
