iter	MultiClass
0	2.229391945
1	2.107414462
2	2.021411606
3	1.941984639
4	1.875914403
5	1.819077937
6	1.771652156
7	1.723890312
8	1.683032844
9	1.649407986
10	1.623323448
11	1.593682053
12	1.570429592
13	1.549082806
14	1.526789646
15	1.513193276
16	1.497500314
17	1.482320458
18	1.463688125
19	1.44839276
20	1.437399852
21	1.423058455
22	1.415329567
23	1.406306967
24	1.398734039
25	1.390083229
26	1.37981837
27	1.370611735
28	1.361628448
29	1.356181754
30	1.348698699
31	1.341686963
32	1.336390319
33	1.332757722
34	1.325594795
35	1.320345255
36	1.31673403
37	1.312146365
38	1.306568787
39	1.301687915
40	1.296596646
41	1.29300008
42	1.2879484
43	1.2839771
44	1.27981081
45	1.275201513
46	1.27132774
47	1.269474626
48	1.265272211
49	1.262577586
50	1.259462523
51	1.2550057
52	1.252002835
53	1.248034315
54	1.244899821
55	1.240828812
56	1.238825084
57	1.235309844
58	1.231998683
59	1.228035305
60	1.225386038
61	1.222275331
62	1.220286721
63	1.217897777
64	1.21586056
65	1.215664629
66	1.212758638
67	1.210264591
68	1.208245391
69	1.205988974
70	1.204182178
71	1.20193201
72	1.199941568
73	1.197792294
74	1.195258236
75	1.19337466
76	1.192175064
77	1.189905238
78	1.188221385
79	1.186135438
80	1.183830566
81	1.182674394
82	1.180355386
83	1.177587957
84	1.175708549
85	1.173779053
86	1.172114574
87	1.170611099
88	1.168556715
89	1.166802341
90	1.165155901
91	1.163785383
92	1.162333978
93	1.160538111
94	1.158800231
95	1.156699574
96	1.154911872
97	1.153535159
98	1.151530567
99	1.150262405
100	1.148438477
101	1.146825769
102	1.14511388
103	1.143717524
104	1.142137105
105	1.140577588
106	1.139153493
107	1.137804654
108	1.136331455
109	1.134549617
110	1.132962845
111	1.131681851
112	1.129759328
113	1.128428087
114	1.127310093
115	1.125815995
116	1.124139107
117	1.12225996
118	1.121177204
119	1.120081803
120	1.118978785
121	1.117821563
122	1.117151007
123	1.115939016
124	1.11481731
125	1.113620023
126	1.11258618
127	1.111204041
128	1.110047243
129	1.108731536
130	1.107676273
131	1.106615295
132	1.105381576
133	1.104135092
134	1.103150079
135	1.101889481
136	1.100621314
137	1.099537707
138	1.09862586
139	1.097413667
140	1.096693517
141	1.096004317
142	1.095114163
143	1.093714227
144	1.092371002
145	1.091205132
146	1.090176852
147	1.088797527
148	1.087869522
149	1.086906441
150	1.085622708
151	1.084838121
152	1.083996182
153	1.082577266
154	1.081435076
155	1.080635621
156	1.079298035
157	1.077655395
158	1.076710729
159	1.075618081
160	1.074223681
161	1.07320912
162	1.071962414
163	1.07034688
164	1.0693013
165	1.068297941
166	1.066826522
167	1.065984968
168	1.064882647
169	1.063927776
170	1.062999853
171	1.061704442
172	1.061000412
173	1.059671613
174	1.058476
175	1.057402451
176	1.056317992
177	1.055167397
178	1.053938128
179	1.053168572
180	1.052105917
181	1.051099312
182	1.049862678
183	1.048309949
184	1.047389943
185	1.046716531
186	1.045921751
187	1.044850076
188	1.043997388
189	1.042217193
190	1.041199073
191	1.040176299
192	1.039032765
193	1.037955121
194	1.036905747
195	1.035703893
196	1.034676734
197	1.033621875
198	1.033163634
199	1.031950312
200	1.031260121
201	1.030556076
202	1.029382001
203	1.027875762
204	1.027089055
205	1.026055193
206	1.02547869
207	1.024555196
208	1.023610926
209	1.022433987
210	1.021594813
211	1.020853217
212	1.020072137
213	1.019018807
214	1.018401751
215	1.017676885
216	1.01680027
217	1.015434603
218	1.014683236
219	1.0134156
220	1.012812124
221	1.01187721
222	1.01066287
223	1.009954198
224	1.009092303
225	1.008323331
226	1.007636071
227	1.006748094
228	1.005730352
229	1.004884929
230	1.004467821
231	1.003590986
232	1.00235587
233	1.001790791
234	1.00107856
235	1.000147491
236	0.9992902441
237	0.9985390588
238	0.9978655267
239	0.9969185628
240	0.9960666653
241	0.9950375868
242	0.9943682364
243	0.9937807221
244	0.9932202312
245	0.9925644478
246	0.9918415314
247	0.9909920158
248	0.9903261683
249	0.9896745888
250	0.988885093
251	0.9880258101
252	0.9870860567
253	0.9865189726
254	0.986109064
255	0.9851720208
256	0.9842428534
257	0.9833685652
258	0.9827943208
259	0.9819359073
260	0.9812514311
261	0.9808187057
262	0.9800753282
263	0.9792174023
264	0.9788069577
265	0.9781154247
266	0.9772123376
267	0.9767103591
268	0.9755721645
269	0.9748527408
270	0.9743257122
271	0.9734721037
272	0.9729382741
273	0.9720806163
274	0.9714024201
275	0.9704648936
276	0.9699832426
277	0.969254372
278	0.9685864991
279	0.9679954039
280	0.9674042458
281	0.9665445022
282	0.9659398337
283	0.9651885204
284	0.964180884
285	0.963583374
286	0.9631619383
287	0.9624521057
288	0.9618359378
289	0.9612263228
290	0.9606121047
291	0.9597594151
292	0.9594502181
293	0.9587964908
294	0.9578322101
295	0.957089897
296	0.9566316599
297	0.955681939
298	0.9551927264
299	0.954461258
300	0.953718435
301	0.9527992517
302	0.9520463476
303	0.9512313589
304	0.9508869572
305	0.9502774188
306	0.9496450149
307	0.9490172331
308	0.9481714584
309	0.9477605755
310	0.9470662322
311	0.9462638171
312	0.9458321208
313	0.9453944666
314	0.9448609055
315	0.9442318841
316	0.9434148363
317	0.9428105487
318	0.9421950181
319	0.9414438605
320	0.9409153575
321	0.9402351822
322	0.9396291873
323	0.9385544444
324	0.9377798492
325	0.9371933678
326	0.9365979754
327	0.9361323576
328	0.9355202688
329	0.9350252968
330	0.9345304884
331	0.9340620015
332	0.9332024284
333	0.9324474633
334	0.9318503339
335	0.9310701059
336	0.9302183814
337	0.9294869962
338	0.9286111809
339	0.9278697061
340	0.9273044695
341	0.9263959013
342	0.9258778842
343	0.9251860044
344	0.9247172087
345	0.9239121827
346	0.923397817
347	0.9227554219
348	0.9220474759
349	0.9215508109
350	0.9210621572
351	0.9206319091
352	0.9199950608
353	0.9193909752
354	0.9183853877
355	0.9175804354
356	0.9169461522
357	0.9161602384
358	0.9153132605
359	0.914640813
360	0.9139113795
361	0.9133833663
362	0.9130091226
363	0.9125703215
364	0.9119595416
365	0.9110150595
366	0.9105256
367	0.909862406
368	0.9093614455
369	0.9089077004
370	0.9082324287
371	0.9073872168
372	0.9066240409
373	0.9061306107
374	0.9054094876
375	0.9049084098
376	0.9043312593
377	0.9039289432
378	0.9033032844
379	0.9027828012
380	0.9022430503
381	0.901156497
382	0.9006865454
383	0.8999568927
384	0.8994105523
385	0.8989560685
386	0.898611662
387	0.8981486484
388	0.8974808107
389	0.8969270006
390	0.8965612414
391	0.8960272911
392	0.8954696031
393	0.8947943666
394	0.8940150849
395	0.8933540714
396	0.8928170109
397	0.8920703648
398	0.8913673998
399	0.8907854108
400	0.8901729474
401	0.8897651505
402	0.8893695489
403	0.8888280704
404	0.8884103391
405	0.8878347413
406	0.8872682632
407	0.8867723542
408	0.8860883047
409	0.8856643624
410	0.8849449804
411	0.8845674584
412	0.8839417349
413	0.8834322425
414	0.8828123735
415	0.8821592988
416	0.881438699
417	0.8808754568
418	0.8802211196
419	0.8797977813
420	0.8788852556
421	0.8782661655
422	0.8778555912
423	0.8771870392
424	0.8767925932
425	0.8764166309
426	0.8758044537
427	0.875229254
428	0.8746768493
429	0.873948567
430	0.8734556422
431	0.8728900512
432	0.8723850745
433	0.8718254769
434	0.8714889397
435	0.8706506473
436	0.8702036682
437	0.8692508119
438	0.8683500513
439	0.8679436781
440	0.8674814819
441	0.8668438836
442	0.8664049729
443	0.8658288796
444	0.8652520883
445	0.8647334691
446	0.8639856531
447	0.8634312821
448	0.8627962553
449	0.8621320191
450	0.8613573441
451	0.8609308519
452	0.8603750864
453	0.8597731065
454	0.8587783657
455	0.8584520449
456	0.8576882621
457	0.8572988947
458	0.8569665415
459	0.8564272883
460	0.8558126628
461	0.854967161
462	0.8547147962
463	0.8539857344
464	0.8535385404
465	0.8530169732
466	0.8524065938
467	0.8517739674
468	0.8513293581
469	0.8509280801
470	0.85049162
471	0.8500787725
472	0.8492010203
473	0.848499437
474	0.8480164795
475	0.8472258984
476	0.8467410764
477	0.8460358349
478	0.8454567503
479	0.8448276321
480	0.84423828
481	0.8437165474
482	0.8433242378
483	0.8427173232
484	0.8421593743
485	0.8419504225
486	0.8413207286
487	0.8408393826
488	0.8402409356
489	0.8394987982
490	0.8389094047
491	0.8386390642
492	0.8382630988
493	0.8375946689
494	0.8367185553
495	0.8362593034
496	0.8359990708
497	0.8354729067
498	0.8348370892
499	0.8338696561
500	0.8334199792
501	0.8329660744
502	0.8324950027
503	0.8321246073
504	0.831634813
505	0.8309703944
506	0.830539162
507	0.8301482977
508	0.8296587086
509	0.8292249358
510	0.8287838721
511	0.8279302301
512	0.8271823119
513	0.8267793489
514	0.826205109
515	0.8257772456
516	0.8250868091
517	0.8246035839
518	0.8239771639
519	0.8235424598
520	0.8231514183
521	0.8227553395
522	0.8223208329
523	0.8218619719
524	0.8211626552
525	0.8205959301
526	0.8202115939
527	0.819665791
528	0.8190170719
529	0.8181310755
530	0.8175559068
531	0.8170338154
532	0.8165348413
533	0.8162013816
534	0.815733352
535	0.8153203334
536	0.8148570751
537	0.8144367527
538	0.8138173064
539	0.8134296519
540	0.8130783315
541	0.8127775081
542	0.8125904581
543	0.8120992423
544	0.8113055536
545	0.8111213049
546	0.810721269
547	0.8101151249
548	0.8090732987
549	0.8085963238
550	0.8079842691
551	0.807471815
552	0.8066893751
553	0.8062494787
554	0.8056947917
555	0.8050354275
556	0.8044551777
557	0.8041641034
558	0.8038647699
559	0.8032453898
560	0.8027389377
561	0.802094735
562	0.8014397803
563	0.8008909713
564	0.8000206875
565	0.7995224087
